platform,komentar
YouTube,Wanjay .....si nopek cm suruh nyebur liang doang.. jawajawa 😅😅😅😅😅
YouTube,Udah nonton dan lucu banget 😂😂😂
YouTube,itu ga mungkin angin. mana mungkin angin bisa buka kursi lipat😅😅😅
YouTube,Asli lucuuuuuuuu...
YouTube,"Udah nonton. Pecah si ini film, edan 😂😂😂"
YouTube,"Ini serem ga yaa, mau nonton tp gada temennya soalnya😂"
YouTube,Aku udah nonton.. ngakak parah parahh gak nyesel sumpah demi apa pun😂😂
YouTube,Sopan kali kau panggil hantu😅😅
YouTube,Kapan muncul di digital ya? Penasaran banget mau nonton tapi ga di indo
YouTube,Agak laen
YouTube,Kok bisa sih ada yg ketawa nonton film yg mengandung unsur shaming orang difabel (gagu)
YouTube,"Sumpah demi apapun, lucu ada, cinta cintaan ada, bikin nangis pun ada. 11/12 kaya PEE MAK. Di film agak Laen hanya film ini yg bikin gua nangis pas adegan si Oky ngomong klo dia blm bisa bahagiain mamak di umur yg makin bertambah trus. Asli relate bnget sama kehidupan gua yg di umur 29 ini blm bisa bahagiain ortu gua"
YouTube,"Rameeeee baguuuuussss, tapi cast nya itu itu muluuu kayak kurang variatif, lumayan bosen sama format filmnya yang slalu ada boris indah arie aci resti indra 😂 ganti2 dong cast nyaaa huhu"
YouTube,Ini lucu nngaet kami sudah nonton hari Minggu kmren. Satu studio ngakakk 😂😂
YouTube,UDAH LIAT DANN PECAH BGT LUCU PARAHH
YouTube,Aku nonton di bioskop waktu itu
YouTube,baru sadar baju mereka walaupun beda tapi warna nya sama terus
YouTube,lucuuu asli gokil😂😂😂😂
YouTube,Gila seru banget nonton ini !!!🎉
YouTube,Film ini aman untuk anak² gak ya semoga ada yg jawab
YouTube,Another film konyol from indonesia 😂
YouTube,"wkwwk paten kali bah filmnya,, bagus lucu ngakak 😂🤣"
YouTube,"Aku dah nonton, seru kali memang ini film 😂"
YouTube,"Komika semua, gak mungkin ini genre horor"
YouTube,"Sudah nonton ... Asli ketawa sampai nangis... Siap"" sakit perut 😂"
YouTube,Udah nonton...seru sih 😂
YouTube,"Sabar, biasanya di streaming pasti akan tayang kok kalau di bioskop nya sudah selesai"
YouTube, @ayikardani3368  kalo film indo biasa streaming di app mana ya? Penasaran banget soalnya banyak yg review bagus di x
YouTube,"Biasa setelah selesai bioskop
Versi digital Ku harap netflix"
YouTube,"Ternyata tayang di sini kmrn akhirnya nonton, 9/10 udah lama ga ketawa kayak kemarin"
YouTube,emang lucu kok ... resiko cacat
YouTube," @bakkedbakkon  jadi orang cacat itu salah mrk jd cacat lalu dibuat bahan olok2, gitu?"
YouTube, @bakkedbakkon   jadi orang cacat itu salah mrk kalo mrk cacat dan jd bahan olok2 gitu?
YouTube,Difabel nya komika kan? Memang dia lagi ngelucu. Kalo dia gak ngelucu gak ada yang ketawa² lah.
YouTube, @Tungguakudi-7  Film komedi bisa kok tanpa ada unsur diskriminasi thd difabel seperti itu. Kalo anda hrs nunggu konten shaming difabel seperti itu untuk bisa ketawa maka moral anda hrs dipertanyakan
YouTube,ya mereka ber 4 kan ibarat tokoh utama yg selalu muncul
YouTube,Aman tenang aja
YouTube,Gue nnton ini ampe 2x dong msh seruuuu kocak bgt
YouTube,Kak mohon jawab anak kls6 SD sudah bisa ngak nonton film ini?
YouTube,Keren banget horor nya dapet drama sedih nya dapet dan yang jelas komedi nya dapet ❤🎉
YouTube,"akhirnya trailer yang gak nampilin jalan cerita dari awal sampe akhir film :"")"
YouTube,Ibumu pasti bangga
YouTube,"Parahhh lucu banget wkwk, Cuss bioskop yang belum nonton"
YouTube,Tayang sampai kapan min?
YouTube,yok bisa tembus 4 juta
YouTube,"Keren filmnya
TOP BGT
Layak dibikin sequel
Cuma jgn sampe sequelnya melempem yah kayak film cek toko sebelah"
YouTube,Sampe kaku rahang nyong . Ketawa terus sampe BTS nya ngakak
YouTube,"Keren bangettttt 🔥 🔥 
asli keren, wajib nonton !!

gila banget ini film dari awal sampe akhir ketawa terus 😂😂😂 pokonya gw mau nonton lagi .. wkwkwkwk"
YouTube,Udah nonton lucu bangeett 10/10
YouTube,"pecah banget sumpah, komika sumatra ini ya 🤣🤣"
YouTube,Komika memang hebat semua terutama bang Boris dkk
YouTube,"Film nya asli  keren bgt ,bikin ketawa ampek capek 😅😅"
YouTube,"Gak relate, senyum jg nggak"
YouTube,"Aku dah nonton bang
Bangga kali aku nengok hasil karya sesama anak SUMUT 🙂🙂🙂"
YouTube,Tanyang in full film nya dong di ytb!!!!
YouTube,"Horornya 25%
Lawaknya 90%
Sedihnya 20%
Embel2nya 10%

Debessssssss lahh isinya dominan komedi😂😂😂"
YouTube,Pengen nonton. Tapi kok Gak ada dibioskop Amerika sih😢
YouTube,"Ada jokes dewasa tapi bukan yang asusila, jadi aman aja sih, asal bisa jelasin ke anaknya"
YouTube,ok...
YouTube,"Nonton dulu, klo dah nonton lu kaya gt, lu sakit bwrati"
YouTube,"Sbar nunngu masuk netflix, vidio, viu dll kak"
YouTube,"​​​ @raumraumancerita261 tapi beda lho luar netflix indo ku yakin gak masuk film ini luar indo
Setiap netflix negara beda"" Isi film"
YouTube,"kek bangsat ni film, LUCU BGT ,, parahhhh, wkwkwkkw"
YouTube,Ini the next..Dono Kasino Indro saya Haqul yakin..Lucu sekali 😂😂😂😂
YouTube,"Daripada pusing ngeributin capres ayo langsung aja nonton Film Agak Laen .. Lucu Sangat, Ngeri Sangat, Terharu Sangat, Heboh Sangat … Puji Tuhan Alhamdullilah Sangat ...Sudah Tembus 3 juta orang tertawa jantungan sangat …"
YouTube,Aq ud ntn lucu banget 😅😅😅
YouTube,"Hahahah ane barusan Nonton.. 
Ngakak full perut ane sakit parah 🤣🤣🤣🤣🤣 Sukses terus agak lain 👏👏👏"
YouTube,barusan gw sama keluarga gw nonton film ini betul betul pecah sih ketawa kita wkwk tapi ada bagian sedihnya juga menurut gw film kali ini gw kasih bintang ⭐⭐⭐⭐⭐ film ini bener bener kocak cuy apalagi pemainnya lawak semua wkwk segitu aja dr gw semangat untuk terus berkarya okey see you
YouTube,"Emang bener nonton film gk usah nonton trailernya dulu 😂
Pas nonton filmnya kocak poll, iseng nonton trailernya serasa trailer komedi mainstream hahaha ✌️"
YouTube,Mantap bng filmnya apalagi pas ngencingin mayatnya
YouTube,Lucu kaliiiiii….
YouTube,Dijamin ngakak. Rugi g nonton
YouTube,"Akhirnya nonton juga, gara2 nunggu di mall kelamaan"
YouTube,Ini lucu banget woii 🤣😭kalian wajib nonton 👏🏻👏🏻👏🏻
YouTube,"Baru nonton tadi malam,kekeh x nonton-nya,ga rugi beli tiketnya,pingin nonton lagi krna lucu kali 🤣🤣🤣"
YouTube,Udah lama banget loh indonesia gk buat film horor bertema komedi
YouTube,"Bru td mlm nnton, pengwn nnton lagi"
YouTube,Keren nih filmnya😂😂
YouTube,Gak berenti ngakak dr awal sampe akhir.. Gila si ni film lucunya natural gitu.. 🤣🤣
YouTube,"Sebenarnya lucu, tapi karena Adi Ari kriting jdi males nonton.. sok-sokan kritik pak Prabowo.."
YouTube,Klu ad season 2 nya mantap juga ya😂😂😂
YouTube,"Buat Produser, Sutradara,Star n crew nya AGAK LAEN....
I WANT TO SAY tengkiyu pakai banget....udah lama gue gak NGAKAK....anak gue sampe nangis di scene kehilangan mamak...Kalian KEREN. Makasih yaaa...🎉🎉🎉"
YouTube,Watdehel
YouTube,"Gpp lo gausah nonton, lagian filmnya udah tembus 5 juta penonton kok dan akan terus bertambah❤"
YouTube,Keren banget
YouTube,"Gak rugi beli tiket untuk film selucu ini,, hanya saja endingnya terlalu biasa, mudah ditebak,, juga penyelidikannya kurang dramatis.. selebihnya seru banget. Menghibur"
YouTube,Pasti tahun depan ada Agak lain part 2
YouTube,😂❤❤❤ 4 Bodat tercinta..
YouTube,Kerren sih 😂😂😂😂
YouTube,"Gak nyesel nontonnya!!  Dari awal sampe akhir ngakak trus, alur cerita juga bagus good job abang abanggg"
YouTube,Anak medan wajib nonton yang satu ini
YouTube,Boris ganteng bett😭😭
YouTube,"gua dari indonesia timur. nonton film komedinya ernest prakarsa gak pernah ketawa. giliran tahu ada jokes gerombolan batak ini entah kenapa cocok bgt sama selera humor gua. sense of humornya lebih dapat. tingkatkan abang2, maju terus!!!"
YouTube,😂😂lucu..sy ksh nilai 10
YouTube,Kacooo paraahhh anjritt ngakakk😅😅😅😅
YouTube,angin duduk wkwkwk
YouTube,NGAKAK PUOOLLLL🤣🤣
YouTube,The best ! Sudah nonton. Dan saya jarang nonton film produksi Indonesia
YouTube,"aku baru tadi siang nonton, film nya seru banget"
YouTube,udah rilis
YouTube,Keren 👍
YouTube,lucu bgtttt
YouTube,sampe kapan filmnya?
YouTube,Judul nya aja udah Lucu Agak Laen wkwkwkk😂
YouTube,JANGAN SPOILER PAK
YouTube,Mantaps  9/10
YouTube,Keren nih film
YouTube,"Gilaaa keren banget film nyaa. Lucu nya dapet banget sampe ketawa ngakak, real film komedi. Trus drama dan premis nya tetep dapet. Wajib ditonton"
YouTube,"Edan 
Wkkkkkkk
Tawa nangis.. Nangis sampe ketawa.."
YouTube,Ada suami istri yg main 😊
YouTube,"Baru sempet nonton hari ini , dr awal sampe akhir geeerr"
YouTube,Kemaren aku baru nonton ... Sumpah kocak banget seruuuuuuuuu .... Gak kan nyesel nonton ini
YouTube,"Sumpah gak munafik b aja joks"" nya gak ada lucu"" nya padahal gwa orang gampang ketawa"
YouTube,"""Apanya jawa jawa ini"" wkwwkwwkwk bangke"
YouTube,"Kemaren malem nonton,lucu bett😂"
YouTube,ini pelem bener2 bikin ngakak...
YouTube,Ga berhenti ngakak terus😂
YouTube,Entah apa lucu nya pilem ini..agak laen memang
YouTube,wkwkw lucuu 1 studio auto ketawa
YouTube,Diluar ekspektasi oki rengga menyala
YouTube,Gasabar nonton nanti jam 9😂
YouTube,9.9
YouTube,Syumpah kalian wajib nonton ini ngakak sampe mau pipis 🤣🤣🤣
YouTube,"KEMAREN BARU NONTON, GILA NAGIH BGT 😭😭😭 PENGEN YG KE 2 BURU2"
YouTube,Mau liat lagi anak saya minta lagi hahahahah lucuuu kaliii
YouTube,Lucu parah nich film
YouTube,Udah nonton worth bangett
YouTube,Film ny oke..aq suka
YouTube,Parah ini film lavvak asli ngakak gua rekomended banget 😅😅😂
YouTube,Sopan kali kau manggil hantu 😅😅
YouTube,Layak ditunggu 👍
YouTube,PECAAHHH
YouTube,"Gokil filmnya...!! Lucu banget, jamin setiap 5 menit ngakak terus... Jadi ingat warkop DKI
Karakter masing masing pemain kuat banget...."
YouTube,Udh nnton film agak laen td di bioskop... asli ngakak satu bioskop..alur film nya bagus.. ada pelajaran.. ada komedi.. ada horor.. ada sedih.. emng agak laen ni film😂
YouTube,barusan nonton ngakak sampai nangis 😂😂😂😂
YouTube,Film komedi terbaik 2024
YouTube,Wahhh pengen nnton 😢
YouTube,Udah nonton 5/10
YouTube,mamat gunshop......
YouTube,"Baru ntn ini film, dan SUMPAHH KOCAAK 🤣🤣🤣"
YouTube,Mas jegel klo dandan gtu jd agak mirip sm alm.kasino😢...q jd inget beliau...
YouTube,"bukan rumah hantu,tapi rumah orang miskin🤣🤣🤣🤣"
YouTube,Masterpiece of comedy
YouTube,Nagih banget liat film nya bang ditunggu agak lain 2 😅
YouTube,Film terkereeeeeeeeeennnnnnnn :face-red-heart-shape:
YouTube,Komedi..😮😮. Gini dong horor tu harus lucu. Santai lucu. Suka..❤❤.
YouTube,Gilak! Baru nonton trailernya aja udah berasa seru banget filmnya. Wajib go international nih film!
YouTube,Akhirnya oki di ajak maen film juga🤣
YouTube,Serrru😂
YouTube,Semalaam baru nonton asli kocak bgt...untung di penjaranya gak lama.. sedihnya dpt horornya dpt apalagi lucunya dpt
YouTube,"Udah nonton filmnya Sabtu kemaren. Lucu parah, keren sih ini film. Akhirnya ada film komedi yang bener2 bisa mengocok perut. Semoga ada film2 lainnya dari kuartet Agak Laen ini.

Sangat direkomendasikan untuk nonton."
YouTube,Wkwkk lucu bgt lagi
YouTube,Baruuuuu aja nonton....kupikir aku aja yg opung² disitu....rpnya ada jg opung² laen....paten x bah....sakit perut opung kelen bikin...ada pulak to...tng rejeki....hahaha
YouTube,"Mau nonton, tapi tempatku gada bioskop 😭😭😭😭😭"
YouTube,"mau nonton, tapi disini ngga ada bioskop"
YouTube,yang salah dari filem ini adalah........  para perempuannya tidak pake Hijab seperti negara timur tengah pada umumnya.
YouTube,Yaaa ampyuunn dah 1 juta penonton👏👏
YouTube,Penasaran 😂
YouTube,Scene Aci Resti & Ardit dari awal masuk rumah hantu smpai keluar...ger ger ger rapet semua 😂😂😂
YouTube,Lucu kok lucu
YouTube,lucu banget
YouTube,Mudah²an bakal jadi group besar seperti legenda warkop DKI. Dan terus mengocok perut² org².
YouTube,Satttt... Liat trailernya aja muka dah kencang 😂
YouTube,"Lucu banget film ini, yg ga nonton sih rugi banget. 9 dari 10. Top"
YouTube,"Ratingnya 9,9 di tix gilaakkk 😂😂"
YouTube,boong
YouTube,"Sumpaahh ini film seruu bgt,kocak,sedih,tegang campur aduk semuaa..kerenn abizzz😂😂❤❤❤"
YouTube,"sedeppp banget lah pokoknya film ini.. agak laeen betulann !!! 
Terimakasih ya !!"
YouTube,"entah udah berapa taun gak lihat film se ngakak ini, terimakasih buat keseruannya 😂😂"
YouTube,"Asli ini film lucu banget, ketawa gak berhenti henti, the best film Commedy Indonesia yang terlucu 😂😂,yang belom nonton buruan nonton, asli keren dan super kocak 😅"
YouTube,"Setelah nonton, bener2 keren nih film 🎉"
YouTube,Gus nopek
YouTube,"Sudah lihat, hasilnya minta ampun perut sampai sakit karena ketawa dan rahang sampai capek wkwk"
YouTube,Ga ketawa sama sekali
YouTube,"Kyknya klo kualitas film kita gini terus, bisa sih ngalahin film komedi thailand ini mah"
YouTube,psti tembussss
YouTube,"Udah nonton.. kocakk bgt, dapet semua nya, lucu ada serem2nya ada melow nya ada.. top dah 👍👍"
YouTube,Gak sabar Agak Laen 2
YouTube,kelas kali kutengok ini film🔥🔥🔥🔥
YouTube,Gw dah nonton 2 jam dbkin ngakak... 😂😂😂  gw ksih bintang 10 ini mah
YouTube,"Andai aja ga ada si botak, perfect ni film"
YouTube,MashaAllah.... Kerenz betttt.. Ngakak sampe akhir👏👏
YouTube,Semalem baru nonton gila sakit perut ketawa mulu bener2 kocak abis
YouTube,Vibes warkop
YouTube,Fix udah nonton td kocak bgt parah keren bgt ni komika 😂
YouTube,setane batak cok😭
YouTube,"Kalo kau udah nonton, justru Akting bang Oki yg bikin film ini makin perfect"
YouTube,"emg kocak ni komen, oki yang powerfull disini"
YouTube,Ngeri2 lucu.. agak laen😂😅
YouTube,"Udah nonton, lucu abis. Wajib nonton"
YouTube,Baguuuuuuuss bangettttt film nya.. assssliiiii
YouTube,"Mantap, ""Agak Lain"" memang filmnya di Jayapura Papua😂😂😂😂"
YouTube,kok belum full pnjang di yutub padahl ud lewat tgl tayangnya
YouTube,"Baru pulang nonton Agak Laen...seru,kocak,sepanjang nonton ketawa trus...keren Batak👍👍Horas"
YouTube,Nice movie
YouTube,"Biasanya film2 di bioskop itu tayangnya sampe brp minggu atau brp bulan  ya,,contohnya film ini"
YouTube,"Boris: Paaaak... sibuk gak...!!!
Jegel: Sopan kali kau manggil hantu...!!!
Aku: wkwkwkwk"
YouTube,Notice pada post credit scene : itu cewe cantik diguna2 sama cowo nya
YouTube,Setanne batak😂
YouTube,Bjir ada nopek.. auto nonton
YouTube,smg gk garing... 🤔
YouTube,weekend at bernie's selalu ke sana otak ini larinya referensi
YouTube,Warga indonesia harus nonton dijamin ketawa sampe bengekkkk😂😂😂
YouTube,Aku dah nonton.....capek ketawa terus
YouTube,"Oky semakin kesini makin lucu,🤣🤣🤣semangat semuanya"
YouTube,Kurang Lolox doang niih gengan nya..😂😂 tp Keren sii..bakalan Lucu bgt
YouTube,Mao NONTONNN 😭
YouTube,Ud nonton hampir 2 jam puas kali pas nnton harga 20k 😅
YouTube,Tolong di jwab ya
YouTube,Tergantung bioskopnya jika dirasa sudah menurun dia akan ganti dengan film lain dan sebaliknya
YouTube,"Kacauu filmnya seru abis, rating pribadi 9/10. Kelar nonton bioskop standing applause"
YouTube,Ceritanya unik nih. Semoga sukses! Ada versi digital / streamingnya ga ya?
YouTube,Udah nonton dan lucuuu banget! Ga nyesel dah nontonnya 👍
YouTube,Seruuuuu🎉🎉🎉👍🏻👍🏻👍🏻👍🏻
YouTube,Lucu banget 😂😂😂
YouTube,Udh nonton... wah dari awal sampe akhir full ketawa ngakak 1 studio bioskop. Ditutup dgn tepuk tangan meriah...😊
YouTube,Tayang nya Sampek kapan BG?
YouTube,Sehari hampir 200 rb pennonton
YouTube,Keren sumpah
YouTube,"Barusan banget nonton (2 februari 2024)

Asli pecah banget, bagus banget gaes ketawa mulu guaaa🤣9/10 dahhh, worth it buat ditonton. Gassken ke bioskop2 terdekat di daerah kalian😂"
YouTube,Gw mau nonton lagi hari Senin.. ngakak nya hari ini terganggu ama bocil 😅
YouTube,GOKILLL ABISS ANGIN DUDUK
YouTube,"Trailernya udah kocak, anjjj😂"
YouTube,KEREEEEEEENNNNNN
YouTube,"ini film beneran ditulis....nggak di bayangin doang. mantap memang.
kalau kata cinecrib"
YouTube,Gak kuat nahan ketawa selama nonton film walaupun ada adegan nangisnya tetap aja gak bisa ngalahin rasa ketawanya. Keren pokokya
YouTube,kalo ga nyampe 1 juta penonton parah sii
YouTube,Lucunya susah di ungkapkan dengan kata2😅😂😅😂😅😂😅😂awas keselek ketawa kalian sendiri
YouTube,"Aku mau nontonnnnnn , selaltu Norton podcastnya apalagi ternyata ada anti marito nya"
YouTube,"Gini aja dah lucu
Apa lagi Klw ada babe cabita kayak nya lebih pecah lagi ni.."
YouTube,"betul, sama"
YouTube,Sore ini mau nonton 2x 🤣
YouTube,Lu pas di bioskop lagi rame gk bang
YouTube, @JackSparrow-pf4ho yaa kisaran 10-15 orang lah bang kmaren
YouTube,Macam best jeaa movie neh.. lawak seram
YouTube,"udah nonton barusan, asa sedihnya, ada seremnya tapi banyak komedinya si, kalian wajib nonton ❤❤"
YouTube,"Udah nonton gilak wajib nonton sih, puas bangetttt filmnua bagus"
YouTube,Akhirnya dah nonton pas tayang di bioskop ❤❤❤
YouTube,Ngerikk film nya bikin sakit peruttttt🎉🎉🎉🤣
YouTube,"Baguuus banget film ini..bikin 1 Studio dari awal bisa Ketawa, Ketakutan, Ngakak, Nangis sedih, Ketawa lagi dan berakhir dengan tepuk tangan semua penonton..pecaah buat film AGAK LAEN...Wajib nonton..."
YouTube,"Baru aja nonton, buaaaguuuusss, lucuk bangedz!! Musti banget nonton!! 🎉🎉🎉🎉"
YouTube,"Makasih bg!! Keren, heboh, lawak kali karya klen! Hormatt 🙏🏻"
YouTube,lolox kok ga ada
YouTube,sopan kali kau manggil hantu..gtu doang bikin ngakak XD
YouTube,Lucu banget sayangnya aku mau nntn pasutri haje aja😅
YouTube,LUCU BANGETTT 😂
YouTube,"Bisa""nya nama pak luhut klean bawa"""
YouTube,Pecccaaahhh film.nya baaang
YouTube,Pengen banget nnton tapi bioskop jauhhhh 😢
YouTube,Lucu bgt trailernya tp trailer finalnya lbh fokus ke dramanya. Pengen nonton tetep
YouTube,"Angin apa yg bisa buka kursi lipat

Angin duduk ya kan"
YouTube,Cerita tentang apa
YouTube,Cuma ada di cinepolis ya ini 😢
YouTube,Besok tayang nih 🔥🔥
YouTube,keknya akan terjadi banyak ledakan tawa yg akan membuat ledakan jumlah penonton menjadi 3 juta penonton..... amiiiinnnnnn...... 🙏🙏🙏🙏😇😇😇😇
YouTube,Trailer aja dah lucu banget ini. Nunggu tayang di layanan streaming. 🙏
YouTube,"Sudah 3x ak tonton trailer ini, nyari bagian yg nggak lucu tapi nggak ketemu2"
YouTube,Tiket aman ketua 🤣🤣🤣🤣🤣🤣
YouTube,Setane batak to.... 😂😂😂😂
YouTube,Mantap kali 😂
YouTube,masuk netflix bisa petcah ini di negara-negara ASEAN wkwkwkwkkwk
YouTube,nopek : “setane batak cok” 😂😂
YouTube,yakali 2 jt ga tembus ini
YouTube,"Bakal epic nih comika semua yg maen, baru liat trailernya aja dah ngakak 😂👍"
YouTube,yang lebih suka film komedi dr pada film horor 👇🏻
YouTube,Garansi 1 jt penonton
YouTube,harap tembus sampai malaysia..
YouTube,"Abang2, cepat masukin OTT, yang di Aceh g bisa nonton"
YouTube,Bangzattt angin duduk 🤣🤣🤣🤣
YouTube,Full comica ini film pasti sangat lucu dan seru❤
YouTube,Ini pengambilan syuting nya di dkt rumah dipengasinan sawangan 😊😊 .. crew nya semua baik baik semoga filmnya laris dikalangan pecinta film horor komedi.. sukses trus
YouTube,Wajib nonton ini🔥
YouTube,Angin duduk ya kan😂😂
YouTube,"Perpaduan film pee mak & drishyam
Keren"
YouTube,Iyalah yg main sama crew stand up comedy semua😂
YouTube,"Itu crew nya dari team basecamp kami...gafeer,,,key grip,,,dop,, lighting... Alhamdulillah sampai saat ini sudah tembus 7 JT penonton 👏"
YouTube,Pengasinan mana nya ya?
YouTube,Deket setu pengasinan
YouTube,Udh terlaris nomor 2 😢😢😢
YouTube,​ @wahyusiahaan12 apa judul nya
YouTube,Rumah org miskin 😂
YouTube,Setan e Batak toh 😂
YouTube,Pecahhhh sihhhh
YouTube,Besttt banget… nonton dimana yaah
YouTube,mantap .. gas nonton
YouTube,lucuu bgt vibesnya berasa film thailand😭😭
YouTube,Baru nonton trailer aja uda ngakak. Wkakaka
YouTube,Harus nonton😅😅😅😅😅😅😅😅
YouTube,Gak sabar nengok bene akting wkwkwk
YouTube,Cuk setane Batak cukk
YouTube,Seru ini sih aura2nya... berasa bibit2nya Warkop DKI di era gen Z
YouTube,Keknya aku bakalan nonton filmnya lebih dari satu sih ini😂
YouTube,“Setane batak tooo” 😂😂😂😂 makin ga sabar pengen nonton
YouTube,Gw bakalan nonto  ni pelem liat trailernya aja udah bikin ngakak ajaaa wkwkwkwk🤣🤣🤣🥰
YouTube,Dari Podcast jadi film sukses buat Agak Laen
YouTube,ayokk wee kita ramekan tgl 1 februari ❤❤
YouTube,Gak sabar pasti kocak kali❤
YouTube,Ini yg di tunggu tunggu
YouTube,Waaah harus nonton pkoknya
YouTube,Mantaaaap gaaaaas
YouTube,"Baru ini gw nonton trailer sampe ngakak, punchline nya banyak yg ga ketebak"
YouTube,"""setan nya batak cok"" 😭😭"
YouTube,Ada kak Anggi Marito😯
YouTube,AAAAAA GA SABARR MAU NONTONNN!!!!
YouTube,trailernya bikin ngakak sepotong BANAGSAT. harsu nonton ini & durasinya 110 menit
YouTube,Waaaaahhhh ini koplak c 🤣🤣🤣🤣
YouTube,Model film kayak gNi yg gw tggu... Mantep
YouTube,"Sumpah jadi Agenda liburan saya ini mah gak sabar pasti seru banget, nonton trailernya aja uda ngakak saya 😂😂"
YouTube,Dah ga sabar nunggu
YouTube,kapan rilisnya ini min?
YouTube,Agak laen memang hahahha
YouTube,"Baru nonton trailernya aja uda ketawa sampe nangis, wajib nonton ini sih.. 😂😂😂"
YouTube,Wajib nonton 😂
YouTube,"Anjir ""setanne batak cokk"" bakalan pecah ini film"
YouTube,"garansi 2jt penonton broo😂 gile"" inimah 3jt
 tpi bajakan😂"
YouTube,akhir nya ada film yg komedi nya sama kayak warkop
YouTube,Eh ada Anggi marito nya ❤
YouTube,mamat jadi polisi?? agak laeeenn emang!
YouTube,Wajib nonton demi bang jegel gak kalah taruhan wkwkwkwkwkw
YouTube,"kutunggu yaa, lekas maen di bioskop yaa.. awas kalo gak jadiii"
YouTube,Petjah kali ni wakk
YouTube,Di tunggu
YouTube,"""Ini bukan rumah hantu, ini rumah orang miskin"" ngakak banget 😂"
YouTube,Aaahhhh wajib nonton ❤❤❤❤
YouTube,"Lucuk kali bah trailernya, harus kudu nonton 😂😂😂"
YouTube,Out of the box😭
YouTube,Recommended bgt nih film nya harus nntn niih hahahah
YouTube,Angin apa yg bisa buka kursi lipat? Angin duduk dong 😂
YouTube,❤❤❤❤
YouTube,GA SABARR
YouTube,Gak sabarrrrrr
YouTube,Bioskop Malaysia tayang ngak? Please tayang dong.. 😢😢
YouTube,Baru trailer aja gw udh ngik2 depan HP 😭
YouTube,mantaaap
YouTube,Gak bisa kalo cuma modal jelek 🤣🤣🤣
YouTube,Premisnya bagus rumah hantu jadi rumaht hantu  beneran dari o pengunjung yg mati karena sakit jantung liat hantu hantuan 😂
YouTube,"Akhirnya terwujud, film berkat Bene ""ngompas"" ko ernest di AL.ternyata langsung meng kristal bah jd film yg ditunggu2.. scene ""setane batak toh!"" LOL"
YouTube,ernest prakarsa mewujudkan impian anggota agak lain..
YouTube,tayang Malaysia pliss
YouTube,Gak sabar liat scane abah pican
YouTube,Ah masih lama
YouTube,"Agak laen di sumut : mobil parkir di pinggir lampu merah, semua kendaraan berlomba2 dilajur kanan biar santai/lambat, yg salah yg marah, berlomba2 masuk okp, banyak coverboy okp dipapan reklame disetiap jalan, lebih banyak mamak2 yg maen judi kartu"
YouTube,"show stand up udah mahal2.
nonton film beginian lumayan bs nutupin, bayar 35rb, banyak komiknya.."
YouTube,🔥🔥🔥🔥🔥
YouTube,"😂👍🏻 terbaiklah kalen semua komika bersatu buat film lucu, tembus 2 juta view penonton !!!
#amiin 
#sukses terus untuk semua yang terlibat di film ini ✨"
YouTube,"ini gua kasih tau klen semua!!, jadi semala ini dari kecil aku nonton filim hantu"" kalau ada bangku rotan yg goyang"" itu bukan hantu tapi angin duduk!! 😅😅"
YouTube,Ini kayaknya film warkop yg jd pegawai hotel dulu
YouTube,Genre Saya ini Mah Komedai 😅😂
YouTube,"JEGEL GARANSI 1 JUTA PENONTON

Kalo ga 1 juta, jangan lari kau jegel"
YouTube,Angin duduk 😅😅😂😂
YouTube,Waahh gasabar
YouTube,Aduhh pgen lihattt😂😂😂 pasti lucu n seru
YouTube,😂😂😂
YouTube,Nopek said : setane bapak cok😂
YouTube,Udah gak sabar menunggu 🔥
YouTube,aku udah ada budget nonton buat hari pertama pokonya harus hari pertamaaaaaa nonton
YouTube,Semangat abang2 ku😍😍😍😍😍
YouTube,Kayaknya haruuss nonton....mskipun akj penakut siih tapi bakal ngakak teruss kayak nya🤣
YouTube,setannya batak cok HAHAHAHA
YouTube,"'bukan salah bantal ini lho'
(Indra Gunawan si penghambat agak laen tukang j*di)


 Semua kalimat bikin ngakak sih asliiii"
YouTube,Harusss nontooooon gak mau tauuu !
YouTube,Batak wkwk
YouTube,Calon box office niii
YouTube,gasabar woi harus nonton🔥
YouTube,Curang Klean..knapa harus Februari ?!? gak bisa kah di percepat ini ?!? Agak Laen emang Klean yah ku liat #ahahaaha
YouTube,lohhh akhirnyaaa beneran jadi buat film
YouTube,"""1 Juta ku garansi""
-Indra jegel"
YouTube,"Anying cocok bener indra jegel jadi setan 
Tumben si oky botak di ajak wkwkk
Kaku bener romanya si oky wkwk"
YouTube,Kelasssss🔥
YouTube,Buaaahhahahaa lucu kaliii 1 februari.. Keburu nongol di tele😂😂😂😂
YouTube,0:25 keren supercup nya
YouTube,"Perasaan Chou Mobile Legend juga pernah bilang ""Agak Laen"" Sama si Fredrin saat si Fredrin bilang kalau Waifu nya dia itu adalah Lemon. Kalau penasaran lebih detail nya, cek aja di Channel nya Gray Animation. Saat Hero Novaria Rilis"
YouTube,Lucu banget
YouTube,Rumah orang miskin 😅😅 kimak si prita 😂😂
YouTube,SIAPPP NONTONN
YouTube,"wahahahaha... gak mungkin gak lucu, isinya komika doang 🤣🤣"
YouTube,Gak sabar pngen nonton
YouTube,"Mamat jadi polisi???
Wewww suatu yang sangat langkah"
YouTube,Ada Sadana Agung mantappp!!😂
