platform,komentar
YouTube,"2025 masih menonton, anjir ngakar teguling2 kek pocong.. sumpah lucuuuu
,"" dancccuuuukkk setannnnnya Bataak"" 😂😂😂😂😂😂"
YouTube,"I like this movie, from Vietnam ❤️"
YouTube,Lah aq g pernah bunuh orang lho brooo
YouTube,@The koolpals
YouTube,mmg mantap haha
YouTube,Sudah kami review yaa
YouTube,"Baru lihat di Netflix, the best movie top Malaysia no 1 tahniah bro👏🏼👏🏼"
YouTube,"Gila sih mereka bukan aktor loh, tapi bagus banget aktingnya terutama Oki bagian dia sma mamaknya pasti nangis gw.. suskes buat Agak Laen ❤❤❤😂😂😂😂"
YouTube,"Luarbiasa gw ngakak sedih, tegang juga disatu film ini 😂😂😂😂😂😂😢😢😢😮😮😮😂😂😂"
YouTube,Dari brunei! Lucu sekali lakonan nya! Suka bangett
YouTube,7juta penonton gaes
YouTube,Kangen mantan jadi puter ulang trailer nya agak laen karna pas nonton ini ketawa ketawa bareng sama mantan :)
YouTube,Akhirnya Ada Film Indo Yang Lucu Dan Horror *Dari Cucu
YouTube,😮😮😮 angin apa yang bisa buka kursi lipat??? ANGIN DUDUK 😅😅😅
YouTube,Ada ketawanya tpi ending nya bikin nyesek  sampai lupa buka puasa waktu nonton ini di bioskop
YouTube,Tayang di netflix kah ?
YouTube,Kukira ada aming😂
YouTube,"klo komika lucunya garing dan gak adab, krn maksain Lucunya"
YouTube,Sudah ready di platform online kah?
YouTube,PLSSS UDH JADI TERLARIS KE 2 DI INDO 😭😭👍👍
YouTube,Bang bikin agak lain kedua
YouTube,Nntn trailernya aja udh ngakak😂
YouTube,Saya dari Brunei. Baru tengok semalam.. saya kasi 10/10.. mesti tengok beberapa kali. Lucu banget
YouTube,season 2 tayang 2025 ya?
YouTube,"Besok putar filmnya lagi, tayang d Netflix"
YouTube,"bacot dek, nonton juga kaga malah ngatain komedinya garing"
YouTube,"Jujur cerita nya keren tapi pemainnya kok saya gag ada yg kenal ya, apa emang ini low budget gag pake artis pemain papan atas dengan fee rendah karena Untung untungan takut gag laku"
YouTube,Jegel mqnq
YouTube,Tembus ke bioskop Amerika ini
YouTube,"One of the best movie. I said all movie, not just Indonesian"
YouTube,Panik gak tu wkwkkkk🤣😂😂😂
YouTube,"Kocak banget film nya, hampir sepanjangan ketawa"
YouTube,"Saya lebih suka yang beginian dari pada film horor sebelum sebelumnya, yg kesannya malah terlalu sadis, gak serrem setannya, malah menampilkan pembunuhan dan pembunuhan pembunuhan sadis sadis, gak sesuai dengan genrenya yg katanya horor, malah yg di tampilkan pembunuhan pembunuhan sesuatu yg tidak patut di pertontonkan, terlalu sadis, gak ada kesan horornya sama sekali"
YouTube,"arip didu wkwkwkk
bapak bapak kocak . . ."
YouTube,Lucuuukk bgt ini filmnya. Kocak abis deh
YouTube,Ga lucu dah
YouTube,Emg indonesia the best dh bikin film lucu 😅😅
YouTube,ngakak parah.. asli.. wajar kalau penonton banyak
YouTube,Oi kapan tayang udh ngk sabar nih 😭😭😭
YouTube,"aku udah nontonnn, kerennn bangettt"
YouTube,Ak uda noton di biosok seruu😂 kalo tidak lucu bukan agam lain
YouTube,Biase aje
YouTube,Di netflix ada kluar blom?
YouTube,Aku ada ide…. Wkwkwkwkw jegel jegel…. Idenya koplak semua wkwkwkwkkw
YouTube,"setannya batak, lucu banget nopek. untung gak nonton trailernya dulu."
YouTube,comedy horor drama sampe crime ada semua... genre bending bgt nih film gokil
YouTube,Artis papan atas emang ada yang lucu? Kalo pemainnya jefri nichol ya nggak lucu lah filmnya
YouTube,ga ada yg kenal? ini pemerannya komika yg udah terkenal malah dibilang low budget. lah terus film komedi kayak gini siapa aktor/aktris yg cocok? reza rahadian? 😅
YouTube,"Ku jelasin sini walaupun udah telat. Mungkin lu gak banyak kenal karena gak terlalu ngikutin komika/komedian. It's oke sama kek orang yg gak ngikutin film juga gak hafal sama aktornya. 
Jadi film ini muncul dari podcast Agak Laen (podcast Agak Laen sudah berdiri jauh sebelum film ini diumumkan). Makanya main cast-nya 4 orang itu karena memang mereka anggota podcast Agak Laen. Film ini digarap di PH Imajinari (punyanya Koh Ernest) which is dia juga komika. Film ini dari awal mau dibikin komedi, jadi nyari pemain-pemainnya rata-rata komika semua, bahkan sutradaranya pun komika. Kalau mau cari tau coba telusuri sosmed masing-masing castnya. Mereka semua udah komika papan atas"
YouTube,Waduu bisa bisa klo sambutan nya bagus bisa bisa di remake ma Hollywood
YouTube,"Ini film kocak bgt, awal nya gue ga tertarik. Tp pas gue coba filmnya gue ngakak dr awal sampai akhir"
YouTube,Saya baru saja lihat memang movie nya lucu 😂 dan terbaik ❤
YouTube,Gw udah nonton seruuu bgt
YouTube,Angin apa yg bisa buka kursi Lipat 😂 angin duduk ya kan 😂
YouTube,Angin duduk.. Bangke lah..🤣🤣
YouTube,Aku dari Malaysia udah tgk ceritanya mmg lucu banget😂. Sakit perut ketawa dlm panggung😂. 10/10👍🏻
YouTube,"review jujur dari gue dari malaysia. 10000/10.. saya udah nonton semalam. plot twist yg menarik, jalan cerita tk bosan, lawak tak hambar, lagi excited mahu menunggu apa jadi. memang keren banget.. salam dari malaysia.."
YouTube,Kok bisa begini lucu banget😂😂
YouTube,Jadi nya uda brp juta yg nonton. Kmren aku hbs nonton. Ya gitu agak laen emng.. Sampe mikir ini joke nya buat angktn gen brp gtuu. (?)
YouTube,Film komedi Indonesia yg paling Lucu yg pernah gw tonton 👍🏻
